TYPE,LOSS,EPOCH
TRAINING,0.6829766332247736,0.0
TEST,0.6216545439085845,0.0
TRAINING,0.591011032202197,1.0
TEST,0.6006121628067039,1.0
TRAINING,0.564064138744756,2.0
TEST,0.5960346204235897,2.0
TRAINING,0.5460137425997736,3.0
TEST,0.5974877036643482,3.0
TRAINING,0.5317984404324906,4.0
TEST,0.6010865452730552,4.0
TRAINING,0.5199369471392692,5.0
TEST,0.6051872524632921,5.0
TRAINING,0.5096447675742438,6.0
TEST,0.6113933423694294,6.0
TRAINING,0.5004513016808346,7.0
TEST,0.6195236276806414,7.0
TRAINING,0.4921260470716494,8.0
TEST,0.6261445428218381,8.0
TRAINING,0.4856008781084401,9.0
TEST,0.6333058753743238,9.0
TRAINING,0.4780708998606205,10.0
TEST,0.6401703022362828,10.0
TRAINING,0.4725914548948443,11.0
TEST,0.6475274755683282,11.0
TRAINING,0.4671522777689611,12.0
TEST,0.6531218932130667,12.0
TRAINING,0.4624323155290903,13.0
TEST,0.6599557553290829,13.0
TRAINING,0.458105382500276,14.0
TEST,0.6651807546247102,14.0
TRAINING,0.4541824216162508,15.0
TEST,0.670261357507406,15.0
TRAINING,0.4504477007548576,16.0
TEST,0.6761849436300554,16.0
TRAINING,0.4478298060071208,17.0
TEST,0.6811404574599111,17.0
TRAINING,0.4445983522852727,18.0
TEST,0.684669679369526,18.0
TRAINING,0.44137657470433594,19.0
TEST,0.6909560803467929,19.0
